Position,Experience,Company,Location,Date,Details
Python Team Lead (with PM or DM exp.),greater that 5 years,PLANEKS,We're a fully remote team thus we do not have an office. Most of our developers are based in Ukraine.,11 вересня,"LET’S START WITH WHAT PLANEKS OFFERS:     0. Fast and comfortable hiring process. 1. 100% remote work opportunity and flexitime — choose working hours between  8:00-20:00. 2. Manage your compensation $$$$ budget — Travel tickets, Work equipment, Health insurance, Software, Sport, Training. 3. Salary paid in USD + tax compensation. Revision every 12 months. We want everyone to be confident in what tomorrow brings. 4. Everything to provide a good rest. YES: Paid vacation, national holidays, sick leaves(and support in case of serious diseases). NO: overtime, work on weekends. 5. Regular feedback, mentorship, code review. Friendly and professional team that supports you. Well, we’re proud of how we handle that. So you can always count on us. 6. Speaking clubs with a native speaker to constantly maintain your English level. 7. No bureaucracy — transparent processes and flat management. Working remotely means keeping things as simple as possible to work efficiently.   We propose something more significant than a job. PLANEKS means developing a new lifestyle for our colleagues and clients. So take your part in it! ABOUT THE PROJECT   Our customer is a platform for a new era of artists to manage the metadata efficiently and splits for their musical Works and Recordings. This platform is committed to facilitating metadata management by providing a proactive, simple, and efficient approach. It is by providing tools to independent and emerging artists that the platform succeeds in showcasing their talent. THIS POSITION SUPPOSES THAT YOU HAVE THE FOLLOWING KNOWLEDGE AND COMPETENCIES:     — 5+ years of commercial software engineering experience using Python for Web. — Strong soft skills, including leadership — ability to hire, develop, inspire, motivate, train and manage the team to meet high goals.  — Knowledge of Django. — Basic knowledge of JS. — Knowledge of SQL and NoSQL databases. — Knowledge of designing and writing APIs or RESTful endpoints. — Understanding of network principles (TCP / IP, DNS, HTTP, SSL). — Strong expertise in software design, development and development management — Knowledge OOP, Architecture Patterns and Best Practices for tech solutions. — Excellent English communication skills (both verbal and written). WILL BE A PLUS   — Previous experience as a PM, BA, or Delivery Manager — Knowledge of programming languages other than Python. — Strong understanding of CI/CD process and cloud platforms. — Experience with Machine Learning or Artificial Intelligence. — Business-oriented approach.   RESPONSIBILITIES — Being on the edge of technology, management, and business. — Working with the founders on directions and goals for the development team. — Technical mentoring and coaching of developers. — Being a part of recruitment processes. — Integrate the newest technologies and approaches that will be used by other developers in the company. — Constantly adding value to the experience of our customers ... and coding!"
Senior Python Developer,greater that 5 years,Tabula Rasa,"Київ, віддалено",11 вересня,"Вчасно  — найпопулярніший SAAS для обміну документами онлайн в Україні і у нас вже зареєструвалося близько 700 000 компаній (серед них: Нова Пошта, Укрпошта, Portmone, OLX, Delivery, Rozetka, Glovo, Monobank та багато інших). Зараз ми шукаємо  Senior Python Developer’а Технології, які використовуємо: Python 3 FastAPI, aiohttp, Hiku/Graphene PostgreSQL, Elasticsearch, Redis, Apache Kafka, AWS S3 JS/React/Redux + TS/React/Apollo Інфраструктура: Docker, Gitlab CI, Argo CD, Kubernetes Про команду: Технічна команда всіх продуктів Вчасно складається з більш ніж 30 осіб, серед яких: Backend, Frontend та Flutter розробники, а також DevOps та QA відділи. Склад команди в якій відкрита вакансія:  PM,   1 Backend Developer, 1 Frontend Developer Для даної ролі важливо: знання Python, не бути заточеним під конкретний фреймворк; мати досвід web розробки; впевнено працювати з базами даних PostgreSQL (або аналогами): транзакції, індекси, оптимізація запитів; досвід асинхронного програмування на Python; здатність самостійно виконувати задачі та повноцінно підтримувати їх на всьому життєвому циклі. Як плюс: досвід роботи з Docker / Kubernetes досвід розробки проєктів з «0» Задачі: Розробка архітектури проєкту Розробка та впровадження функціоналу відповідно до технічних вимог Написання та підтримка юніт-тестів Налаштування процесів CI/CD Взаємодія з DevOps командою для підтримки інфраструктури та релізів Взаємодія з іншими командами розробників Створення та підтримка технічної документації Як у нас проходить підбір на дану позицію? знайомство із рекрутером та СТО (45 хвилин) технічна співбесіда (1,5 год) фінальна співбесіда (опційно,  45-60 хвилин) Ми пропонуємо: офіційне працевлаштування у штат компанії; 24 календарних дні оплачуваної відпустки на рік, необмежена кількість лікарняних; віддалена робота, кількість зустрічей в офісі (м.Київ, ст.м. Бориспільська) за домовленістю; медичне страхування."
Senior Backend Engineer,greater that 5 years,DataRobot,"Київ, Львів, Хмельницький, віддалено",23 липня,"DataRobot is the leader in Value-Driven AI, a unique and collaborative approach to generative and predictive AI that combines an open platform, deep expertise and broad use-case experience to improve how organizations run, grow and optimize their business. The DataRobot AI Platform is the only complete AI lifecycle platform that interoperates with an organization’s existing investments in data, applications and business processes, and can be deployed on prem or on any cloud environment. Global organizations, including 40% of the Fortune 50, rely on DataRobot to drive greater impact and value from AI. Custom Models domain is a team, focused on developing one of the key components of the DataRobot MLOps platform, backed by Kubernetes. We’re building a toolset to run user-supplied ML models and arbitrary code fully equipped with MLOps features: data drift, accuracy tracking, retraining and so on. We are looking for a Senior Software Engineer to join us and accelerate building top solutions for our platform.  Key Responsibilities: Partners with Product Managers and Data Scientists to determine process and execute on designing and implementing new features, and shiping end-to-end to both Cloud and Enterprise.  Design and build application-level software working with Kubernetes Infrastructure and containers. Partners with the DevOps and Security team to build Enterprise installation and documentation. Lead projects, communicate requirements and scope.  Design, build and document extendable REST APIs using Python Flask and OpenAPI schema. Maintain and improve the existing codebase. Troubleshooting complex production environments at the application and DB level. Evaluate and validate code with tests.  Knowledge, Skills and Abilities: 7+ years of professional software development Strong Python knowledge Understanding of networking Building containerized applications Ability to plan and lead projects from start to finish and explain your design decisions Great communication skills: ability to work in teams, share knowledge and write documentation. Computer science fundamentals, basic understanding of algorithms and time complexity. Ability to write quality integration/functional tests. Nice to have: Bachelor’s degree in relevant field Kubernetes fundamentals, developer-level experience. Experience with Docker. Experience with AWS/Azure/GCP. DevOps fundamentals, scripting. Building CI/CD pipelines using Jenkins. Our benefits include, but not limited to: medical insurance (for you and your +1) restricted stock units unlimited vacation policy quarterly companywide day off for self care flexible working hours and remote policy paid parental leave mental health support services sport compensation learning budget IT equipment"
Senior software engineer (scraping),greater that 5 years,Competera,віддалено,28 серпня,"In  Competera , we are building a place where optimal pricing decisions can be made easily.  We believe  that  AI technologies  will soon drive all challenging decisions and are capable of  helping   humans be better . We are now looking for a  Senior Software Engineer  to help us turn business ideas into cutting-edge tech solutions that explicitly drive the product and the company towards its strategic direction. Our stack: Programming Languages: Python. Tech Stack: PostgreSQL, asyncio, FastAPI, Apache Kafka, ClickHouse, BigQuery, GCS, Scrapy, Selenium, Pyppeteer Infrastructure: Kubernetes, Helm, ArgoCD, Grafana, Prometheus, Sentry, OpsGenie. You could be a perfect match for the position if You want to: Design and implement scalable and efficient services for a web scraping system using Python and relevant libraries. Lead the development team in overcoming anti-scraping measures such as CAPTCHAs, rate limiting, and dynamic content loading. Mentor and guide junior engineers in the team, fostering their growth and development. Automate existing scraper development processes using tools and frameworks to improve efficiency and maintainability. Monitor system performance and proactively identify and address any issues. Design and implement microservices architecture for modularity and scalability. Apply Domain-Driven Design (DDD) principles to ensure clean and maintainable code. Stay up-to-date with the latest advancements and best practices in web scraping. You have: 5+ years of experience as a Software Engineer with a strong track record in web scraping. Proven expertise in Python and relevant libraries like Scrapy, Selenium, Pyppeteer, Playwright. In-depth understanding of web protocols and how modern web works (SSL, proxies, cookies, headers, browsers). Experience with anti-scraping detection and bypass techniques. Experience with Kafka, Redis, and microservices architecture. Familiarity with Domain-Driven Design (DDD) principles. Eng — interm + Pleasant extras: Experience with cloud platforms like AWS or GCP. Experience with data quality and cleaning techniques. Knowledge of machine learning and data analysis techniques. Soft skills: Ability to lead and mentor junior engineers in overcoming technical challenges. Proactive approach to identifying and solving problems, seeking out new opportunities. Ability to work independently and as part of a team in a fast-paced environment. Ability to learn new technologies and adapt to changing web scraping landscapes. You’re gonna love it, and here’s why: Rich innovative software stack, freedom to choose the best suitable technologies. Remote-first ideology: freedom to operate from the home office or any suitable coworking. Flexible working hours (we start from 8 to 11 am) and no time tracking systems on. Regular performance and compensation reviews. Recurrent 1-1s and measurable OKRs. In-depth onboarding with a clear success track. Competera covers 70% of your training/course fee. 20 vacation days, 15 days off, and up to one week of paid Christmas holidays. 20 business days of sick leave. Partial medical insurance coverage. We reimburse the cost of coworking. Drive innovations with us. Be a Competerian."
"Lead Full Stack Python(Flask)/React (80% BE, 20% FE)",greater that 5 years,nearshorefriends,віддалено,19 серпня,"Description Project details:   A Software as a Service (SAAS) platform is being developed specifically for regional publishers with a target audience under 45 years old who prefer to consume information digitally. The platform will focus on Categorization, Local Language Model (LLM) etc. Information related to various topics including people, places, cinema, and sports. Content will be delivered through formats such as podcasts and newsletters. The startup has three founders and has secured funding up to the Series A round from venture capitalists. Responsibilities: The engineers will work directly with the founder and CTO to create the SaaS platform. The engineers will be expected to be part of the conceptual process, as in giving feedback, opinions, and pushing back when necessary to make the right development decisions. Requirements: Experience in leading dev teams. Knows how to build an infrastructure from the concept to the technical tasks. Professional experience of at least 5 years as a Fullstack engineer, using Python (Flask) and ReactJS (or any front end framework you know) Excellent problem-solving skills, can think your way through issues, proactively recognize project risks and are able to propose intelligent solutions. Experience with using AI- or at least very interested in using AI and exploring it practical application."
Senior Python Engineer,greater that 5 years,VeryBusy,віддалено,4 вересня,"Наш клієнт — українська  SaaS-компанія , заснована в 2009му році, яка пропонує все необхідне для масштабування Terraform. Продукт — це Cloud Management Platform для великого бізнесу (IaCP), який дозволяє реалізувати self-service для різних сегментів користувачів компанії (з фокусом на DevOps, GitOps користувачів). Шукаємо  Senior Python  бекенд розробника, якому цікаві нетривіальні та челенджеві задачі, важлива прозорість в комунікаціях, довіра та взаємопідтримка між членами команди. Як  Backend інженер, ви будете відігравати вирішальну роль у проєктуванні та побудові основних систем бекенда,  які поділяються на кілька основних аспектів: відповідальність за бекенд-завдання, високопродуктивний API, розроблений за допомогою Flask на основі специфікації JSON-API, та за агент, який взаємодіє з нашим сервером. Вам точно буде цікава ця роль, якщо ви цінуєте свободу в прийнятті рішень та приймаєте відповідальність, відкриті до нових знань та ресьорчу, зацікавлені можливістю працювати з різними частинами продукту та мати вплив на весь процес ТОП-4 напрямки задач: Інженер буде працювати над розробкою Infrastructure as Code Platform (IaCP). Спектр задач включає: — Розробка API для сумісності з terraform workflow — Розробка remote state & operations backend for terraform, що розширює можливості при роботі з terraform — Розробка API для IaCP: конфігурація і менеджмент оточення користувача за допомогою UI/API — Інтеграція зі сторонніми сервісами: VCS (GitHub, GitLab, etc.), online payments (Stripe), cloud computing (gce, ec2, azure) Які знання та навички очікуємо від кандидата: — Досвід в розробки бекенду на Python впродовж останніх 5+ років — Досвід роботи з  сoncurrency and parallelism  (threading, multiprocessing, gevent, asyncio, etc.) — Розуміння ООП та патернів проєктування — Досвід у проєктуванні реляційних баз даних та оптимізації запитів — Впевнене володіння англійською мовою Буде додатковою перевагою: — Знання та практичний досвід з Go — Досвід роботи з DevOps (Terraform, Chef, Ansible, SaltStack тощо) — Знання операційних систем Linux Технічний стек продукту: Python, Go, MySQL, RabbitMQ, Docker та багато бібліотек python для різних доменів: cloud, networking, data, сoncurrency and parallelism (threading, multiprocessing, gevent, asyncio, etc.) Хайринг процес: 1) Співбесіда з рекрутером ~30 хв, 2) Технічна співбесіда ~1,5 год, 3) Фінальна співбесіда ~45 хв. з Head of Delivery"
Senior Python Engineer (Django),greater that 5 years,Adwisely,віддалено,10 вересня,"Adwisely  (formerly RetargetApp) is a marketing solution that helps e-commerce businesses promote their products on the biggest advertising platforms. Adwisely automatically creates and optimizes effective advertising campaigns. Adwisely is a proud Facebook Marketing Partner and Google Partner. We’are looking for a  Senior Python Engineer  to join the team full-time. You will be able to participate in making architecture decisions and to lead one of the directions within the Company. What you will need to do — lead the development process of Shopify Embedded App — bring value to the product by writing code and developing high-quality features — make architecture and infrastructure decisions that improve the product — process high-level tasks through personal knowledge and expertise — improve the quality of our coding base — participate in discussions regarding product vision with founders  — perform code review This is for you if you — have strong knowledge of Python 3 and Django — have experience with SQL, PostgreSQL, no-SQL databases, queue managers — know principles of work of Web (HTTP-protocols and other common protocols) — are experienced in building the app architecture — have experience with Docker, Docker Compose — are an experienced Linux system user — know how to explain the choice of the method of implementing a task — know how to keep a balance between architecture-reasonable and efficient decisions — pay close attention to details in code reviews, ensuring consistent quality across the board — continuously identify areas for improvement within the codebase and contribute to ongoing optimization efforts Will be a plus — previous work with AWS — experience with JS and Front-End technologies — knowledge of GoLang, other languages — knowledge of Ansible orchestration systems (Kubernetes) — knowledge of Facebook Marketing API, Google Ads API, or Shopify API’s What we offer — possibility to make architecture decisions and develop as architect — opportunity to lead development process and deliver value directly to paying B2B clients —  40-hour  working week with a flexible schedule and ability to work remotely — competitive salary  — paid vacation  We are passionate about our Team and the product we create, we never stop learning and always stay curious. Come join us to grow together!"
Parttime Senior Python — Remote,from 3 to 5 years,EXB SOFT,віддалено,12 серпня,"Responsibilities: — 4+ years experience with Python — Experience with web patterns like REST APIs — Experience with both relational databases and NoSQL databases (MySQL, PostgreSQL, MongoDB) — Experience integrating 3rd party APIs — Expert in modern application infrastructure and management (Continuous integration, Continuous deployment) — Ability to collaborate and work well within teams (Code reviews, Scrum, etc.) — English — Upper-Intermediate Nice to Have: — Experience with JS frameworks (React, AngularJS) We offer: • High-level compensation and regular performance-based salary and career development reviews • Flexible working hours. • Interesting people, an excellent team of professionals Our client is from Europe. The company is engaged in copyright protection."
Senior Python Developer,from 3 to 5 years,Scalr,"Львів, віддалено",12 серпня,"Company Overview   Scalr is a SaaS product company that offers everything necessary to scale Terraform. We have a strong emphasis on Terraform, DevOps, GitOps, the “everything as code” philosophy, consistency, and simplicity. Scalr builds a management layer on top of Terraform, which helps DevOps scale to their entire organization. As an engineering organization, we follow a DevOps approach as well, researching cloud services, adopting best practices, and using Terraform throughout. This helps us better understand our customers’ problems and use cases. As we expand our offerings, we are seeking a skilled Backend Engineer with a passion for pushing the boundaries of technology to solve complex problems. Position Overview   As a Backend Engineer, you will play a crucial role in designing and constructing the core backend systems, which are divided into several essential aspects: a worker responsible for background tasks, a highly performant API developed using Flask based on the JSON-API specification, and an Agent that communicates with our server. The principal stack includes Python, MySQL, Go, RabbitMQ, Docker, Kubernetes, and various Python libraries for different problem domains such as cloud, networking, data, concurrency, parsers, etc. You will be an integral part of our platform, contributing significantly to ensuring its reliability, scalability, and efficiency. Also at Scalr, we believe that the best software is produced when engineers take pride and ownership of the code they write, which is why engineers are expected to provide customer support. We value troubleshooting skills and customer empathy because, at the end of the day, writing good code and helping customers be successful is what lays the foundation for building great companies. Must-Have:   🔹 5+ years of backend programming experience 🔹 Concurrency and parallelism (threading, multiprocessing, gevent, asyncio, etc.) 🔹 OOP and Design patterns 🔹 Relational database design and query optimization Would Be a Plus:   🔹 Experience with Go 🔹 DevOps experience (Terraform, Chef, Ansible, SaltStack, etc.) 🔹 Knowledge of Linux systems 🔹 Knowledge of network protocols (TCP/IP stack, sockets, HTTP/HTTPS, etc.) 🔹 Experience in full-stack web development (ReactJS) As Part of Our Team, You Will Work On:   🔹 Development of remote state & Operations backend for Terraform 🔹 API development for Infrastructure as Code platform — configuration and management of the user environment using UI/API 🔹 Integration with third-party services — VCS, online payments, cloud computing, etc. 🔹 Implementation of best practices for coding, testing, and deployment to uphold the quality of the codebase. 🔹 Engaging in code reviews, fostering a culture of collaboration and continuous improvement among the engineering team. 🔹 Contributing to the identification and resolution of bottlenecks and performance challenges, enhancing the overall efficiency of the system. 🔹 Taking ownership of features, delivering features from idea to production 🔹 Providing customer support and demonstrating commitment to code quality through active participation in troubleshooting efforts. Challenges You’ll Need to Meet:   🔹 Each task is unique and will require immersion in the subject 🔹 Studying third-party services APIs, understanding Terraform behavior, and designing internal services 🔹 Involvement in extensive research and development 🔹 Modernizing legacy approaches Scalr Offers:   🌟 Work with an exciting engineering product in an enjoyable environment 🤓 The opportunity to see how your ideas and visions are realized 💰 Attractive compensation and benefits package 📅 Long-term contract and tax compensations 🌐 Flexible schedule and possibility to work entirely remotely 🩺 Medical insurance 🏖️ 20 working days of paid vacation and 2 weeks of paid sick leaves"
Senior SysOps Engineer,from 3 to 5 years,Intellias,віддалено,12 серпня,"What project we have for you You will join our Cloud Operations team and work close together with our dedicated Cloud Architect, Security Engineer, and SysOps/DevOps Engineers. You will work with monitoring, user support, software deployment, maintenance, production migrations, and cloud infrastructure improvements. The Regional Cloud Operations (RCO) team in EMEA manages several environments with different setups and complexity. The team has legacy software dependencies to consider for one environment, whilst there is a more modern setup in other environments.    Our Cloud/SysOps Engineers make sure that production environments are stable, proactively improved and maintained, and that service & support models are effective and continuously improved. DevOps Engineers work closely with developers to make sure that we build environments that suit the products. They work also closely with our SysOps Engineers to help optimize processes with scripts and enablement of infrastructure as code.   As a Cloud/SysOps Engineer in our team, your scope is broad, and the tasks will vary over time and along with team deliverables and load. More examples of responsibilities are production migrations, key components upgrade (e.g., VPN solutions, AD controllers where uptime and availability are critical), targeted hello, and detailed performance optimization, environment and components modernization, development support and interaction from infrastructure perspective, day-to-day monitoring, L2-3 support including customer on/off boarding and trouble shooting. You will be part of long-term initiatives and feature improvements across our environments. You conform standards and theory into practice, and you have a clear understanding what we need to improve and implement based on our deliverables. 

 What you will do Day-to-day monitoring L2-3 support including customer on/off-boarding and trouble shooting Develop and implement complete solutions Participate in functional requirements analysis (including communication with customer representatives) Focus on solving complex tasks in a simple way with a given technology Participate in continuous improvements, including platform tooling and processes, implementing best practices and bringing on innovations Enforcement of non-functional requirements What you need for this Requirements:   • Minimum  6-7  years of experience within relevant IT roles. Cloud operations, cloud engineering, infrastructure operations, L2-3 support, Sys/Dev/TechOps. • Strong AWS knowledge and clear understanding of main services (AWS certification is a plus) • Experience supporting cloud platforms based on AWS • Windows server administration (AD, MS Remote Desktop services etc.) • Experience from L3 support • Experience from production monitoring • Strong troubleshooting skills • Proficiency with network administration • A clear understanding of AWS (or other public cloud) security best practices • Scripting experience, preferably Python3, Shell or PowerShell • MSSQL/MySQL/PostreSQL administration • Monitoring & logging tool experience • Experience from DevOps way of working (incl Agile methodologies) • Strong motivation to continuously learn and improve your skills • Communicative and a team player • Fluent in English A plus (hands-on experience and/or certification) • Kubernetes/Docker • Terraform • Ansible • CI/CD toolsets • DataDog • Linux 

 What it’s like to work at Intellias — At Intellias, we are committed to being an equal opportunity employer, fostering equity, diversity, and inclusion. We welcome and celebrate the differences of all qualified applicants. Join Intellias for a career where your unique perspectives are not only valued but crucial to our success."
Back-End Team Lead,from 3 to 5 years,SpeedlineHub Recruiting,"за кордоном, віддалено",12 серпня,"Our client is an international product-based IT company specializing in the iGaming industry. Born in 2014, they rocked the CIS region, and now take the success to the world. We are seeking a  Back-End Team Lead  to join their team. Requirements: At least 3 years of experience in a team lead/tech lead or senior backend developer position. Strong knowledge and experience in Python development. Experience with Go. Experience designing and developing microservice architectures. Experience with Docker, Kubernetes and other containerization and orchestration tools. Knowledge of distributed systems design principles, integration patterns, and event-driven architecture. Ability to work with relational and NoSQL databases (PostgreSQL, MySQL, MongoDB, etc.). Experience setting up and using CI/CD systems (Jenkins, GitLab CI, etc.). Understanding of DevOps principles, experience with monitoring and logging tools (Prometheus, Grafana, ELK Stack). Good communication skills, ability to work in a team, willingness to take responsibility for the result. Will be a plus: Experience with cloud platforms (AWS, Google Cloud, Azure). Certifications in Kubernetes, AWS or other relevant technologies. Knowledge of and experience using DDD (Domain Driven Design). Experience with event-driven architecture and queuing (Kafka, RabbitMQ, NATS). Responsibilities: Leading a team of backend developers (planning, task distribution, execution control). Design, implementation and support of a highload microservice architecture. Development and optimization of backend services in Python and Go. Collaborating with other teams (Frontend, DevOps, QA) to ensure systems integration and compatibility. Conducting code reviews, mentoring junior developers, organizing team training and development process. Participate in strategic planning and evaluation of technical solutions for new projects and enhancements to existing systems. Optimizing performance and scalability of existing solutions. Ensuring a high level of code and documentation quality. We provide: Remote work or office-based flexibility (Cyprus, Portugal, or Poland). Health insurance coverage (in 6 months of collaboration). Paid vacations and sick leaves in accordance with the company’s policy. Paid session with a corporate psychologist. Access to English, Portuguese, Greek, Spanish or Polish language courses. Opportunities for professional development and participation in educational events."
Full-stack Developer (Python/React.js),from 3 to 5 years,Scalr,"Львів, віддалено",13 серпня,"Company Overview Scalr is a SaaS product company that offers everything necessary to scale Terraform. We place a strong emphasis on Terraform / Opentofu, DevOps, GitOps, and the “everything as code” philosophy, prioritizing consistency and simplicity. Scalr builds a management layer atop Terraform / Opentofu, which assists DevOps in scaling across their entire organization. As an engineering organization, we also embrace a DevOps approach, researching cloud services, adopting best practices, and utilizing Terraform / Opentofu throughout. This enables us to better understand our customers’ challenges and use cases. As we expand our offerings, we are seeking a skilled  Full Stack Developer  with a passion for pushing the boundaries of technology to solve complex problems. Position Overview   We are seeking a skilled and passionate Full Stack Developer to join our team at Scalr and contribute to the ongoing development of  Library.tf . Library.tf   is a comprehensive registry of registries designed for OpenTofu and Terraform enthusiasts. As a Full Stack Developer, you will be instrumental in enhancing our platform’s functionality, ensuring a seamless user experience, and providing valuable insights through efficient data management and analytics. This role requires a strong proficiency in both backend and frontend technologies, with a focus on Python, Flask, MySQL, Docker, and JS, TypeScript, React. Responsibilities Backend Development: 🔹 Design, develop, and maintain robust and scalable backend systems using Python and Flask. 🔹 Integrate third-party APIs to collect data, ensuring efficient data retrieval and processing. 🔹 Manage and optimize MySQL databases for storing and querying large datasets. 🔹 Ensure data accuracy, consistency, and security. Frontend Development:   🔹 Develop and maintain the frontend of  Library.tf  using React, ensuring a responsive and user-friendly interface. 🔹 Implement comprehensive search functionalities to help users easily find relevant providers and modules. 🔹 Collaborate with the design team to create intuitive and visually appealing user interfaces. Requirements:   🔹 Proven experience as a Full Stack Developer or similar role. 🔹 Strong proficiency in Python and Flask for backend development and HTML5 / CSS, JS, TypeScript, React for frontend development. 🔹 Experience with MySQL or other relational databases. 🔹 Familiar with Docker and containerization. 🔹 Familiarity with RESTful API design and integration. Scalr Offers:   🌟 Work with an exciting engineering product in an enjoyable environment 👀 The opportunity to see how your ideas and visions are realized 💰 Attractive compensation and benefits package 📅 Long-term contract and tax compensations 🌐 Flexible schedule and possibility to work entirely remotely 🩺 Medical insurance 🏖️ 20 working days of paid vacation and 2 weeks of paid sick leaves If you are a talented  Full Stack Developer  with a passion for creating impactful web applications and a desire to contribute to the growing OpenTofu and Terraform ecosystem, we would love to hear from you. Apply now and help us shape the future of  Library.tf !"
Python Developer,from 3 to 5 years,ARTJOKER,віддалено,13 серпня,"Key Responsibilities: Project Visionary:  Drive the creation of innovative projects from the ground up, turning ideas into reality. Strategic Evaluation:  Analyze and evaluate project potential to ensure it aligns with strategic goals. Collaborative Launch:  Work hand-in-hand with DevOps to set up and successfully launch projects, ensuring they’re ready for prime time. Continuous Improvement:  Maintain, support, and refine existing projects to keep them cutting-edge and effective. AI Innovation:  Play a key role in developing our internal AI products, contributing your expertise to groundbreaking solutions. Essential Skills: Python/Django Expert:  3+ years of solid experience with Python and Django, crafting high-quality code and scalable systems. API Design Specialist:  Strong experience with design service APIs like Swagger, ensuring efficient and well-documented integrations. Docker Skills:  Proficient in Docker, with the ability to streamline the development and deployment process. English Communication:  B1+ level English proficiency, allowing you to collaborate effectively in an international team. Desirable Extras: Architectural Understanding:  Commercial experience with application architecture, giving you the insight to build robust solutions. ML/DL Enthusiast:  Experience with machine learning and deep learning, enhancing our AI capabilities. Open Source Contributor:  Experience with open-source tools and frameworks for deep learning. AWS Expertise:  Familiarity with AWS services like S3 and Lambda, adding scalability and efficiency to our projects."
Python Developer,from 3 to 5 years,Scalr,"Львів, віддалено",13 серпня,"Company Overview   Scalr is a SaaS product company that offers everything necessary to scale Terraform. We have a strong emphasis on Terraform, DevOps, GitOps, the “everything as code” philosophy, consistency, and simplicity. Scalr builds a management layer on top of Terraform, which helps DevOps scale to their entire organization. As an engineering organization, we follow a DevOps approach as well, researching cloud services, adopting best practices, and using Terraform throughout. This helps us better understand our customers’ problems and use cases. As we expand our offerings, we are seeking a skilled Python Engineer with a passion for pushing the boundaries of technology to solve complex problems. Position Overview   As a Python Engineer, you will play a crucial role in designing and constructing the core backend systems, which are divided into several essential aspects: a worker responsible for background tasks, a highly performant API developed using Flask based on the JSON-API specification, and an Agent that communicates with our server. The principal stack includes Python, MySQL, Go, RabbitMQ, Docker, Kubernetes, and various Python libraries for different problem domains such as cloud, networking, data, concurrency, parsers, etc. You will be an integral part of our platform, contributing significantly to ensuring its reliability, scalability, and efficiency. Also at Scalr, we believe that the best software is produced when engineers take pride and ownership of the code they write, which is why engineers are expected to provide customer support. We value troubleshooting skills and customer empathy because, at the end of the day, writing good code and helping customers be successful is what lays the foundation for building great companies. Must-Have:   🔹 3+ years of Python programming experience 🔹 Concurrency and parallelism (threading, multiprocessing, gevent, asyncio, etc.) 🔹 OOP and Design patterns 🔹 Relational database design and query optimization Would Be a Plus:   🔹 Experience with Go 🔹 DevOps experience (Terraform, Chef, Ansible, SaltStack, etc.) 🔹 Knowledge of Linux systems 🔹 Knowledge of network protocols (TCP/IP stack, sockets, HTTP/HTTPS, etc.) 🔹 Experience in full-stack web development (ReactJS) As Part of Our Team, You Will Work On:   🔹 Development of remote state & Operations backend for Terraform 🔹 API development for Infrastructure as Code platform — configuration and management of the user environment using UI/API 🔹 Integration with third-party services — VCS, online payments, cloud computing, etc. 🔹 Implementation of best practices for coding, testing, and deployment to uphold the quality of the codebase. 🔹 Engaging in code reviews, fostering a culture of collaboration and continuous improvement among the engineering team. 🔹 Contributing to the identification and resolution of bottlenecks and performance challenges, enhancing the overall efficiency of the system. 🔹 Taking ownership of features, delivering features from idea to production 🔹 Providing customer support and demonstrating commitment to code quality through active participation in troubleshooting efforts. Challenges You’ll Need to Meet:   🔹 Each task is unique and will require immersion in the subject 🔹 Studying third-party services APIs, understanding Terraform behavior, and designing internal services 🔹 Involvement in extensive research and development 🔹 Modernizing legacy approaches Scalr Offers:   🌟 Work with an exciting engineering product in an enjoyable environment 🤓 The opportunity to see how your ideas and visions are realized 💰 Attractive compensation and benefits package 📅 Long-term contract and tax compensations 🌐 Flexible schedule and possibility to work entirely remotely 🩺 Medical insurance 🏖️ 20 working days of paid vacation and 2 weeks of paid sick leaves"
